Domain,Headline,Date,News,imageUrl,source
world,WHO urges Ukraine to destroy laboratory pathogens,12 March,"The WHO said on Friday that it urged Ukraine to destroy any highly dangerous pathogens in its laboratories to avoid the risk of an outbreak as Russian attacks in the country continue.The World Health Organization said its remit included promoting biosafety in laboratories to prevent the accidental or deliberate release of pathogens.“As part of this work, the WHO has strongly recommended the Ukrainian Ministry of Health and other responsible agencies to destroy high-threat pathogens to prevent potential spills,” the UN health agency said.Mindful of the concern that the recommendation could raise, after Ukraine’s main civilian nuclear power plant was affected by the Russian invasion, WHO highlighted the broader context of years of collaboration with the Ukrainian authorities to improve laboratory safety..“WHO routinely helps member states improve their public health capabilities, including by facilitating greater safety and security of laboratories containing samples of pathogens of public health concern,” the organization said.“The WHO country office in Ukraine has been working for several years with the Ministry of Health and other partners, including other WHO member states, to support the improvement of biosafety and biosecurity of laboratories, as well as the capacity of laboratory staff, in particular to respond to the Covid-19 pandemic.”In its general recommendations on laboratory safety, the WHO emphasizes a risk-based assessment, spokesman Tarik Jasarevic told reporters in Geneva via video link from Ukraine.“Laboratories should always investigate and assess the situation they are in, to ensure that in the event of a threat, there is a way to safely remove pathogens that are typically found in all of these countries for public health and safety purposes. to avoid any accident. spill,” he said.“It is part of us to provide public health advice to all countries to try to ensure that there is minimal risk of any harm to the population due to a possible accidental release of pathogens.”Questioned by AFP, the WHO did not provide a list of laboratories in Ukraine, nor did it indicate their level of biosafety or explain what pathogens they had.Jasarevic could not say whether any laboratories affected by these recommendations were in an area actively bombed or occupied by Russian troops.
",https://s3media.freemalaysiatoday.com/wp-content/uploads/2022/01/World-Health-Organization-WHO-AP.jpg,news lodge
world,Putin accuses Ukraine of wasting ‘opportunity’ for talks,27 Feb,"Russian President Vladimir Putin on Sunday accused Ukrainian authorities of wasting “an opportunity” for talks after Moscow’s invasion of its pro-Western neighbor.The Kremlin said Putin had briefed Israel’s Prime Minister Naftali Bennett on “the course of a special military operation to protect Donbas.”During the call, the statement says, “he also noted that the Russian delegation is in the Belarusian city of Gomel and is ready to negotiate with the representatives of Kiev, who, showing inconsistency, have not yet taken advantage of this opportunity.”Bennet, for his part, proposed that Israel act as a mediator in the talks between Russia and Ukraine “to stop hostilities,” the Kremlin said.Bennett’s office said the two men “discussed the situation between Russia and Ukraine.”The call followed reports that Ukraine President Volodymyr Zelensky had asked Israel to play a mediating role in the aftermath of the Russian invasion.Bennett and Zelensky spoke on Friday.Russia wants to hold talks with the Kiev authorities in Belarus, which has allowed the passage of Russian troops to invade Ukraine.Zelensky said on Sunday that Ukraine was willing to hold talks with Russia, but refused to hold them in neighboring Belarus.",https://guardian.ng/wp-content/uploads/2022/02/Vladimir-Putin-2.jpg,news lodge
world,Hong Kong unveils $22 billion budget for virus-ridden economy,Feb 23,"Hong Kong’s finance chief unveiled a costly 170 billion Hong Kong dollars ($21.79 billion) budget on Wednesday, which includes tax breaks and vouchers for consumption spending, as the city reels under its worst coronavirus outbreak. coronavirus to date.As rival financial centers emerge from pandemic isolation and reopen to the world, Hong Kong has been overwhelmed by the highly infectious Omicron variant after the city’s successful zero-Covid strategy collapsed.The surge has prompted the reimposition of painful restrictions that have shuttered many businesses, shuttered schools, pushed authorities to order multiple rounds of mass testing and deepened the city’s international isolation.Finance Secretary Paul Chan unveiled the faucets in his 2022/23 budget speech with a series of handouts.“Our economy and people’s livelihoods have been under immense pressure in recent months,” he told lawmakers in a speech that was broadcast live because of the pandemic.“Economic performance in the first quarter is not optimistic.”Among the measures are HK$10,000 electronic spending vouchers for some 6.6 million people, double the amount offered last year.As in previous rounds, the vouchers will not be available to foreign domestic workers or non-permanent residents.The budget also included tax cuts on wages, subsidies on electricity bills and the continuation of a loan scheme for small and medium-sized businesses.",https://www.chinadailyhk.com/attachments/image/191/33/111/523795_220139/523795_220139_956_500_jpg.jpg,news loadge
world,Amsterdam hostage taker asked for 200 million in cryptocurrencies,24 Feb,"A man who held several people hostage at an Apple store in Amsterdam demanded 200 million euros ($230 million) in cryptocurrency before he was taken to hospital “seriously injured,” police said Wednesday.The man, identified as a 27-year-old from Amsterdam, entered the Apple Store with a firearm in the busy Leidseplein neighborhood on Tuesday afternoon, sparking a tense five-hour ordeal.The camouflage-clad assailant reportedly took one man, a 44-year-old British citizen, hostage while four others hid in a cupboard.It was initially feared that the suspect was holding several people hostage, but he was reportedly unaware that several other people were hiding in the building.In a press conference overnight, Police Chief Frank Paauw said that the suspect demanded 200 million in cryptocurrency before he was finally apprehended by police.The ordeal finally ended around 10:30 am (21:30 GMT) when the hostage asked for water. He left the building and then ran, prompting the suspect to chase after him.The suspect was then hit hard by a police car before being checked for explosives by a robot as he lay on the road, painted by the laser sights of police snipers.“A special forces car reacted very appropriately and alertly,” Paauw said, praising the hostage for his bravery.“The hostage has played a hero role. In a split second, he escaped from this hostage situation, otherwise it would have been an even longer and more unpleasant night.”Around 70 people in total were evacuated from the building and the area around the store was cordoned off.The suspect was taken to hospital “seriously injured,” Paauw said, and investigations into the incident are ongoing.Police received a call around 5:30 p.m. (1630 GMT) on Tuesday about a gunman at the Apple Store, and footage suggested he may have been wearing an explosive vest.Several special police units were deployed and the first to arrive were attacked with an automatic weapon, Paauw said.He later tweeted that the man had no explosives on him.All Apple stores in the Netherlands were closed on Wednesday, and the site where the hostages were taken on Tuesday will remain closed on Thursday, the company said.Leidseplein is popular with tourists and known for its lively bars and cafes. The area was quickly put on lockdown and restaurants, bars and theaters were closed after the hostage taking.\",https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAUcy2R.img?h=630&w=1200&m=6&q=60&o=t&l=f&f=jpg,news lodge
world,Saied of Tunisia declares ‘war’ against food speculation,9 March,"Tunisian President Kais Saied declared war on food speculators on Wednesday amid shortages of products such as wheat and semolina, key staples in a country already mired in political-economic crisis.The Russian invasion of Ukraine has threatened staple food supplies, particularly wheat that many Arab countries import mainly from the two Eastern European nations.Saied announced that he was launching a “relentless war against speculators and criminals”, accusing them of seeking to “hit peace and social security”, in a statement from the presidency.Saied had previously announced that he was working on legislation introducing prison sentences as punishment for speculation and food speculation.Tunisia has experienced severe shortages of staple foods such as rice, semolina, sugar and flour in recent weeks, with authorities frequently announcing the seizure of illegally stored quantities of these foods.Tunisia remains mired in economic and political crisis eight months after Saied seized extraordinary powers, dissolving parliament and suspending the government.The Russian invasion of Ukraine poses a threat to food supplies to Tunisia, which imports about half of its wheat from Ukraine and relies on foreign countries for much of its food supplies.The North African country began talks in February with the International Monetary Fund about a possible multibillion-dollar bailout for the country’s crisis-hit economy.The lender has called for “deep reforms” and cuts in public spending, having previously raised concerns about Tunisia’s budget deficits and, in particular, the public sector wage bill.",https://vid.alarabiya.net/images/2022/02/22/cce16002-8353-4571-bba7-5367c0f77a88/cce16002-8353-4571-bba7-5367c0f77a88.jpg?crop=4:3&width=1200,news lodge
world,Queen Elizabeth: Jubilee tributes pour in for oldest female monarch,7 Feb,"Tributes from around the world have continued to pour in for the longest-serving female monarch, Queen Elizabeth II, who marked 70 years on the throne yesterday.The queen is the first British monarch to celebrate a Platinum Jubilee and will spend the day in private.The Prince of Wales, Prince Charles, her first child, while paying tribute to the Queen for marking 70 years on the throne, said in a statement: “The Queen’s devotion to the welfare of all her people inspires even greater admiration. with each passing step. year.”Many more have congratulated the Queen on this historic day, including Boris Johnson, Theresa May and David Cameron, three of the 14 British Prime Ministers who held number 10 during her reign.Johnson said, “I pay tribute to his many years of service and look forward to coming together as a country to celebrate his historic reign this summer.”Her predecessor, Mrs May, described the monarch as “an extraordinary woman, who has dedicated her life to serving her people and our family of nations”.Cameron said, “There can be no better example of duty and worthy public service.”Opposition Leader Sir Keir Starmer echoed these sentiments, saying he would like to express his “deepest thanks” for 70 years of “unrivaled public service”.The Labor leader added: “Her Majesty the Queen has been a vital and valuable constant in an ever-changing world, representing the security and stability of our country, through the ups and downs of the last seven decades.”The Archbishop of Canterbury, Justin Welby, also praised the queen “for her dedication to all of us and her faithful witness to Jesus Christ.”In addition, the Head of the Strategic and Security Studies Division of the Nigerian Institute of International Affairs (NIIA), Dr. Joshua Bolarinwa, said that the 70-year reign of Queen Elizabeth II showed her intention to facilitate decolonization, especially in the annual stage.“Her desire to end colonization made her visit Africa and other countries where Britain had colonies,” he said.She noted that when she came to Nigeria, her intention was to give the nation its independence, but the politicians were not ready at the time, which stalled independence until 1960. When she came to Ghana, they were ready for it, for That’s why they got their independence before Nigeria.Politically, the queen has had a huge impact on development and multilateral diplomacy in Africa and around the world.However, he noted that the Queen, as head of the Commonwealth, has much more work to do, as wealth is not distributed equally among the nations in the association.According to him, initially the membership of the Commonwealth was limited to the former colonies of Great Britain, but around 2008 it became an all-stakeholder affair, which affected the power of the body.“Even Nigeria hasn’t been really serious about the Commonwealth, like it is about AU and ECOWAS summits and functions.“It is necessary to assess the reason that brought them together as a multilateral international organization,” he added.Bolarinwa called on the queen to enhance beneficial relations between the Commonwealth countries.He stressed the need to share benefits and technicalities across the board, adding that technology should be shared or sold.He pointed out that apart from Britain, Australia and Canada, none of their colonies, particularly in Africa, have developed adequately.He added that Nigeria-UK should be visa-free due to the benefits that Britain gained from the country.Elizabeth Alexandra Mary Windsor was not born to wear the crown. But fate intervened. As the eldest daughter of King George V’s second son, Elizabeth, now 95, was expected to live the life of minor royalty when she was born on April 21, 1926.But everything changed at the age of 25, when his uncle, King Edward VIII, abdicated so he could marry divorced American Wallis Simpson.Elizabeth’s father became King George VI, making the young princess the heiress",https://centralrecorder.com/wp-content/uploads/2022/02/Tributes-pour-in-as-Queen-celebrates-Platinum-Jubilee.jpg,news lodge
technology,Facebook Modifies Hate Speech Rule To Allow “Violent” Content Toward Russian Authorities,March 12,"The Russia-Ukraine conflict has for the past few weeks seen major government powerhouses and nations condemn the invasion of Ukraine by Russian forces. It saw series of sanctions meted against Russia, one of them is majority of global tech companies halting their operations in the Putin-led country.
Meta, one of the tech platforms that had placed sanctions on Russia in the wake of the assault on Ukraine has on Thursday modified its approach to hate speech by allowing violent comments on its platforms targeted at Russian authorities.The Facebook-parent company said it would allow on its platforms comments such as “death to Russian invaders” but not credible threats against civilians. This as expected drew the ire of Russian authorities, with the Russian embassy in the U.S. on Friday urging that Washington stop the “extremist activities” of platform.The relaxation Meta’s hate speech rule included permission for calls for the killing of Russian President Vladimir Putin or Belarusian President Alexander Lukashenko, provided they don’t have threats toward others or “indicators of credibility” like saying where or how the act will take place.The infuriated Russian Embassy in the U.S in a statement reacting to the decision by Meta said:“Meta’s criminal and aggressive leading to the provocation of hostility and hatred towards Russians is outrageous. The company’s actions are yet another evidence of the information war without rules declared on our country.” But Meta Inc remained unfazed with the backlash from the Russian quarters as it defended its policy decision through a statement by its spokesperson Andy Stone. In the words of Stone:“The Russian invasion of Ukraine resulted in the company temporarily making allowances for forms of political expression that would break our rules like violent speech such as ‘death to the Russian invaders. We still won’t allow credible calls for violence against Russian civilians.”  This policy applies to Russia, Ukraine, Latvia, Poland, Lithuania, Estonia, Slovakia, Romania, and Hungary, the report confirmed.",https://i0.wp.com/techbooky.com/wp-content/uploads/2022/03/123633679_mediaitem123633678.jpg?w=976&ssl=1,techbooky
technology,Russia Will Ban Instagram In The Days Ahead,March 12,"Russia’s Communications Agency, Roskpmnadzor has announced the ban of video and picture platform, Instagramfrom the country, effective March 14, 2022. This coming just a week after it banned its sister platform, Facebook after it accused the social media giant of ‘discriminating against theRussian media’.The Russian authorities while justifying the addition of Instagram to the ban premised its decision on Meta’s decision to modify its hate speech rule to allow posts and comments calling for violence against Russian authorities.The Russian agency in a statement announcing the ban of Instagram said:“As you know, on March 11, Meta Platforms Inc. made an unprecedented decision by allowing the posting of information containing calls for violence against Russian citizens on its social networks Facebook and Instagram.“Messages are circulating on the Instagram social network encouraging and provoking violent acts against Russians, in connection with which the Russian Prosecutor General’s Office demanded that Roskomnadzor restrict access to this social network.“Since it will take time for active Instagram users to transfer their photo and video materials to other social networks and notify their contacts and subscribers, Roskomnadzor decided to complete the procedure for imposing restrictions on access to Instagram at 00:00 on March 14, providing users with an additional 48 hours of transition period.“The government’s decision does not mention that Russian oligarchs have used Instagram to speak out against the invasion. In some instances, this extends to the children of oligarchs who have become influencers with large followings like Sofia Abramovich, daughter of billionaire Roman Abramovich, who reportedly shared a message saying, “the biggest and most successful lie of Kremlin’s propaganda is that most Russians stand with Putin.” Banker Oleg Tinkov, who was at one point the 15th-wealthiest person in Russia, is one of the most notable dissenters with a post that ended by saying, “We are against this war!”Instagram Head, Adam Mosseri while responding to the ban in a tweet said that: “This decision will cut 80 million in Russia off from one another and from the rest of the world as ~80% of people in Russia follow an Instagram account outside their country. This is wrong.”On Monday, Instagram will be blocked in Russia. This decision will cut 80 million in Russia off from one another and from the rest of the world as ~80% of people in Russia follow an Instagram account outside their country. This is wrong.The Instagram ban which will be effective from March 14th will not affect WhatsApp, another Meta-owned platform, according to Russian state-owned media agency RIA Novosti.Nick Clegg, Meta’s Global Affairs President in a statement on Friday said the policies of the Mark Zuckerberg-owned company were “focused on protecting people’s right to speech as an expression of self-defense in reaction to a military invasion of their country.” Clegg said if Meta/Instagram applied its standing policies without adjustment “we would now be removing content from ordinary Ukrainians expressing their resistance and fury” to the Russian invasion, “which would rightly be viewed as unacceptable.”According to Clegg, the temporary policy would apply only within Ukraine itself. “We have no quarrel with the Russian people,” he said adding “we will not tolerate Russophobia or any kind of discrimination, harassment or violence towards Russians on our platform.”",https://i0.wp.com/techbooky.com/wp-content/uploads/2022/03/787DF9C7-8B7B-425D-9BDC-8FAD27FFF240.jpeg?w=715&ssl=1,techbooky
technology,C Is The Most Environmentally Friendly Programming Language,March 12,"Communication is very important, and the primary means of communication and interaction known to humans is through language. Just like humans communicate, computers and their systems communicate too. Take a closer look at your computer, you’ll realize there’s not much difference. There are quite a number of pieces of software and hardware that require communicating with each other right from the moment you put them on your system. Your application is reacting to the click on your mouse or to a keyboard typing or even the mic when using voice commands and control. The computer system can read files right from your disk storage and so on. At the end of the day,the machine understands nothing but bits, 1s, and 0s, the combination of which creates meaning that you the user desire.So what is a programming language? A programming language is the set of instructions through which humans interact with computers. In other to write a program, you’ll need codes. Special pieces of software exist that turn the code you input into machine language that the machine understands. The code is are pretty much like writing a paragraph of instruction or creating a to-do list for computers. With these codes and programming, you get the computer to draw complex shapes and create rich computer graphics, and then create programs that understand game mechanics and help you build games that feel real with gravity and particle collision, with these programs you can create the most intense and immersive games of all sorts.
According to this Portuguese research in which no other research has countered as at the time of writing this, “C” is by far the greenest programming language. Most people take for granted the fact that a computer program that runs faster or is easier will consume less energy. But this research has proven that might not always be true, as other factors enter into the power consumption equation besides speed. Moving on, if you ask around most developers know several programming languages, but take a deep dive into one or two. Learning a programming language and becoming an expert in it has proven to require time, patience and consistency. The type of software you want to develop may also be a consideration that influences which programming languages to learn. While no concrete rules apply for what language is compulsory to write what software, based on reports from developers who have become experts at it, we offer you considerable guidance.Web-based applications are more likely to be programmed using Python and JavaScript. Large corporations depend on C#, Java to develop their internal applications while their Web applications depend on PHP. Programming for data analytics typically depends on R and MATLAB languages. Embedded devices, such as those in the automotive and healthcare industries, run software written in C, C++, or Rust. Applications that run on the cloud are increasingly written in Go or Scala.  Mobile applications are increasingly written in Swift or Kotlin. As surprising as this discovery of environmentally friendly programming languages may seem to us now, it leaves upcoming and expert developers with one big question, “Will your choice of programming language ever be influenced by energy consumption?”",https://images.unsplash.com/photo-1542831371-29b0f74f9713?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxjb2xsZWN0aW9uLXBhZ2V8MXwyNTc0MjA0MXx8ZW58MHx8fHw%3D&w=1000&q=80,techbooky
technology,Apple Has Discontinued The 27-inch iMac,March 10,"Following the launch of the brand new Mac Studio and Studio Display monitor, Apple will discontinue the 27-inch iMac which debuted in 2020. Although this news is not surprising. Since Apple made announced the plans of switching to its own range of chips, the world got the message and knew the days of Intel iMacs were numbered. That said, the 27-inch iMac was reportedly still available after last spring’s event that then introduced the 24-inch M1 iMac. At the time, there wasn’t really an option for people whose choice desktop screens were the larger ones.Following the launch of the brand new Mac Studio and Studio Display monitor, Apple will discontinue the 27-inch iMac which debuted in 2020. Although this news is not surprising. Since Apple made announced the plans of switching to its own range of chips, the world got the message and knew the days of Intel iMacs were numbered. That said, the 27-inch iMac was reportedly still available after last spring’s event that then introduced the 24-inch M1 iMac. At the time, there wasn’t really an option for people whose choice desktop screens were the larger ones.Another point worthy of note is that the 27-inch Studio Display can be connected to any Mac. Apple has seemingly felt the urge that there wouldn’t be a need for a large-sized all-in-one desktop computer. Now that the 27-inch iMac is being retired, for now, the 24-inch ‌iMac‌ remains the only all-in-one desktop computer offered by Apple. There is a major gap, however, between the 24-inch iMac, which starts at $1,299, and an M1 Mac mini or Mac Studio paired with the Studio Display. The former starts at $2,298, and the latter starts at $3,598. Rumours say that a larger iMac powered by Apple Silicon may be in the works, but when it will debut is still in the air. This isn’t the last Intel-powered Mac, for now, Apple still keeps the Mac Pro around, as well as the Intel Mac Mini.According to reports making rounds, Apple has now removed the 27-inch iMac from its website. For those who can’t wait to see if Apple brings a more professionally-oriented iMac to its lineup later this year and also aren’t interested in the new Mac Studio, the 27-inch iMac may still be purchased directly from the company’s online store, although options are light.",https://i0.wp.com/cdn.vox-cdn.com/thumbor/goD0ICwQKNM-S2bfiqVRYXQA8iQ=/0x0:2040x1360/1200x800/filters:focal(857x517:1183x843)/cdn.vox-cdn.com/uploads/chorus_image/image/70595665/DSC01539.0.jpg?ssl=1,techbooky
